so_code	sms_tag	network_type	formatted_datetime	error_code	report_app_package	report_app_ver	node_id	firmware_version
54	110020749344 	1	2024.6.17 0:00	E134	quantum	core.1.020		00.01.1300
63	110020951304 	1	2024.6.17 0:00	E134	quantum	core.1.020		00.01.1300
45	110020960007 	1	2024.6.17 0:00	E134	quantum	core.1.020		00.01.1300
45	110020832526 	1	2024.6.17 0:02	E-2000	com.hello.sds	1.00.02	N120	00.01.1300
43	110020746724 	2	2024.6.17 0:03	E-2000	com.hello.sds	1.00.02	N130	00.01.1300
46	110020596039 	1	2024.6.17 0:04	E134	quantum	core.1.020		00.01.1300
45	110020832526 	1	2024.6.17 0:04	E-2000	com.hello.sds	1.00.02	N120	00.01.1300
55	110021019321 	1	2024.6.17 0:04	E134	quantum	core.1.020		00.01.1300
63	110020925546 	1	2024.6.17 0:04	E134	quantum	core.1.020		00.01.1300
52	110020979257 	1	2024.6.17 0:05	E134	quantum	core.1.020		00.01.1300
43	110020746724 	2	2024.6.17 0:05	E-2000	com.hello.sds	1.00.02	N130	00.01.1300
41	110020859038 	1	2024.6.17 0:05	E134	quantum	core.1.020		00.01.1300
51	110020802576 	1	2024.6.17 0:05	E134	quantum	core.1.020		00.01.1300
52	110020958923 	1	2024.6.17 0:06	E134	quantum	core.1.020		00.01.1300
55	110021019334 	1	2024.6.17 0:06	9999	com.hello.android.tv	2024-01-25_S001_ARDI_v_0.09.02	N052	00.01.1300
43	110020751933 	1	2024.6.17 0:07	E134	quantum	core.1.020		00.01.1300
45	110020832526 	1	2024.6.17 0:07	E-2000	com.hello.sds	1.00.02	N120	00.01.1300
62	110020743050 	1	2024.6.17 0:07	E010	quantum	hal_1.004		00.01.1300
43	110020746724 	2	2024.6.17 0:08	E-2000	com.hello.sds	1.00.02	N130	00.01.1300
64	110020709049 	1	2024.6.17 0:08	E010	quantum	hal_1.004		00.01.1300
42	110020739969 	1	2024.6.17 0:09	E134	quantum	core.1.020		00.01.1300
63	110019162928 	2	2024.6.17 0:09	E134	quantum	core.1.020		00.01.1300
52	110020886356 	1	2024.6.17 0:09	9999	com.hello.android.tv	2024-01-04_S001_ARDI_v_0.08.23	N100	00.01.1300
45	110020832526 	1	2024.6.17 0:09	E-2000	com.hello.sds	1.00.02	N120	00.01.1300
40	110020867557 	1	2024.6.17 0:09	E134	quantum	core.1.020		00.01.1300
59	110020833579 	1	2024.6.17 0:10	E134	quantum	core.1.020		00.01.1300
